,name
0,THREADED INSERTS
1,INJECTION MOLDED PLASTICS
2,LAG SCREWS
3,ANAEROBIC ADHESIVES
4,ALUMINUM FORGINGS
5,SPUR GEARS
6,BEVEL GEARS
7,RUBBER INJECTION MOLDED CAPS
8,SHOCK ABSORBERS
9,AIR COMPRESSOR
10,THRUST BALL BEARINGS
11,WELDING WIRE
12,SOLID PARTS
13,COLLET CHUCKS
14,RUBBER INSULATORS
15,POLYMERS
16,HOSE FITTINGS
17,TUBES WELDED
18,LIGHTWEIGHT CYLINDERS
19,SAFETY EQUIPMENT
20,RUBBER INSTRUMENT PANEL SEALS
21,GLASS FIBER CLOTH
22,GRAY IRON CASTINGS
23,BATTERY COVERS
24,ADHESIVES
25,WATER HOSE
26,BRAKE DRUM
27,STAINLESS STEEL HOUSING
28,GEAR MOTORS
29,BLOW MOLDING MACHINE
30,CALIPER BRAKE
31,FLANGE GASKETS
32,PRESSURE SENSOR
33,RUBBER GASKET
34,CLAMP GASKETS
35,ALUMINIUM FORGINGS
36,TAPERED ROLLER BEARINGS
37,ALLOY FORGINGS
38,OXYGEN SENSOR
39,PLASTIC EXTRUSION MACHINE
40,FIBER LASERS
41,CAST COMPONENTS
42,PROXIMITY SENSORS
43,LOW PRESSURE
44,TOOL HOLDERS
45,COPPER ALLOYS
46,CARBON FORGINGS
47,RUBBER INJECTION MOLDED COMPONENTS
48,HYDRAULIC VALVES
49,GASKETS
50,FIRE PROTECTION SYSTEM
51,BOWDEN CABLE
52,CAPACITORS
53,EXTERIOR PARTS
54,SYNTHETIC POLYMERS
55,RUBBER HOSES
56,PAINTED PARTS
57,ARTICULATED ROBOT
58,POLYPROPYLENE FIBER
59,TRIPOD
60,MOULDED COMPONENTS
61,VACUUM GAUGE
62,GAS PIPES
63,DUE DILIGENCE
64,GREY IRON CASTINGS
65,SANDING BELTS
66,SCREW PUMPS
67,WASHER PUMP
68,THERMAL INSULATOR
69,FLEXIBLE HOSES
70,WELDED
71,ELECTRIC MOTOR
72,CLEANING PRODUCTS
73,ROLLED STEEL
74,TEMPERATURE CALIBRATORS
75,AUTOMOTIVE PARTS
76,POLYESTER YARN
77,MEDICAL EQUIPMENT
78,SLIDING BEARINGS
79,GLOVES NITRILE
80,POLYPROPYLENE
81,CERAMIC COMPONENTS
82,SOLENOID
83,CORRUGATED HOSE
84,POLYPHENYLENSULFID
85,RUBBER HYDRAULIC BUSHES
86,BRAKE CALIPER
87,ELECTRIC MOTORS
88,CUTTING EQUIPMENT
89,STAINLESS STEEL SHEET
90,ENGINE COMPONENTS
91,METAL PIPES
92,PLASTIC PROCESSING MACHINERY
